"name","authorFirstName","authorLastName","category","isbn","issn","mediaType","location"
"Das Lied von Eis und Feuer I","George R.R.","Martin","Belletristik","9783442267743",,"Buch","Außenstelle Brigittenau I"
"Das Kapital","Karl","Marx","Fachbuch Wirtschaft","9783868202434",,"Buch","Außenstelle Brigittenau I"
"Manifest der kommunistischen Partei","Karl","Marx","Fachbuch Geschichte","9781499398465",,"Buch","Außenstelle Brigittenau I"
"Fairy Tail 4","Hiro","Mashima","Manga","9783551796141",,"Buch","Außenstelle Brigittenau I"
"Access 2.0","Ulrich","Matthey","Fachbuch IT","9783815815113",,"Buch","Außenstelle Brigittenau I"
"Allah il Allah","Karl","May","Belletristik","3800040603",,"Buch","Außenstelle Brigittenau I"
"Der Derwisch","Karl","May","Belletristik","3800040612",,"Buch","Außenstelle Brigittenau I"
"Der Schatz im Silbersee","Karl","May","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Der Schut","Karl","May","Belletristik","3780200066",,"Buch","Außenstelle Brigittenau I"
"Die Sklavenkarawane","Karl","May","Belletristik","3800040417",,"Buch","Außenstelle Brigittenau I"
"Durch das Land der Skipetaren","Karl","May","Belletristik","3780200058",,"Buch","Außenstelle Brigittenau I"
"Durch die Wüste","Karl","May","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Durch die Wüste","Karl","May","Belletristik","3780200015",,"Buch","Außenstelle Brigittenau I"
"Durchs wilde Kurdistan","Karl","May","Belletristik","3780200023",,"Buch","Außenstelle Brigittenau I"
"Old Surehand I","Karl","May","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Sand des Verderbens","Karl","May","Belletristik","3800040107",,"Buch","Außenstelle Brigittenau I"
"Unter Geiern","Karl","May","Belletristik","3800040352",,"Buch","Außenstelle Brigittenau I"
"Unter Geiern","Karl","May","Belletristik",,,"Buch","Außenstelle Brigittenau I"
"Winnetou I","Karl","May","Belletristik","3780200074",,"Buch","Außenstelle Brigittenau I"
"Pfade des Lichts","Terry","McGarry","Belletristik","9783453523104",,"Buch","Außenstelle Brigittenau I"
